eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation
1,Mother,490,570,14,4,17,83,1.4,30
1,Daughter1,477,609,18.634,4,18,55.3333,2.4,40
1,Daughter2,525,594,15.4,4,18,41.5,3.2,40
2,Mother,592,426,14,4,38,83,1.4,140
2,Daughter1,592,386,15.4,4,39,55.3333,2.6,150
2,Daughter2,627,417,14,4,39,41.5,3.2,150
3,Mother,584,661,14,4,60,83,1.4,20
3,Daughter1,566,690,14,4,61,41.5,4,40
3,Daughter2,601,675,14,4,61,41.5,2.8,20
4,Mother,219,254,14,4,131,110.667,1,20
4,Daughter1,240,235,20.4974,4,132,69.1667,1.4,90
4,Daughter2,220,288,20.4974,4,132,69.1667,1.2,80
