eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,551.95,506.3,58.1,4,1,132.8,1,90,3
1,Mother,556.1,506.3,58.1,4,1,132.8,1,90,3
2,Mother,556.1,510.45,58.1,4,1,132.8,1,90,3
3,Mother,553.483,506.586,58.1,4,1,132.8,1,80,3
4,Mother,556.093,505.035,58.1,4,1,132.8,1,70,3
5,Mother,554.673,508.935,58.1,4,1,132.8,1,70,3
6,Mother,553.647,506.856,58.1,4,1,132.8,1,60,3
7,Mother,551.299,508.046,58.1,4,1,132.8,1,50,3
8,Mother,552.872,505.522,58.1,4,1,132.8,1,40,3
9,Mother,549.693,508.19,58.1,4,1,132.8,1,40,3
10,Mother,552.361,511.369,58.1,4,1,132.8,1,40,3
11,Mother,547.234,518.127,58.1,4,1,107.9,1,170,3
12,Mother,455.675,768.797,58.1,4,1,83,1,160,3
13,Mother,515.821,331.673,58.1,4,1,107.9,1,150,3
14,Mother,548.12,505.379,58.1,4,1,132.8,1,140,3
15,Mother,544.941,502.711,58.1,4,1,132.8,1,140,3
16,Mother,547.537,499.164,58.1,4,1,132.8,1,130,3
17,Mother,549.693,508.19,58.1,4,1,132.8,1,130,3
18,Mother,547.025,505.01,58.1,4,1,132.8,1,130,3
19,Mother,544.358,501.831,58.1,4,1,132.8,1,130,3
20,Mother,541.69,498.652,58.1,4,1,132.8,1,130,3
21,Mother,541.179,504.499,58.1,4,1,132.8,1,130,3
22,Mother,549.686,507.183,58.1,4,1,132.8,1,120,3
23,Mother,547.611,503.589,58.1,4,1,132.8,1,120,3
24,Mother,545.536,499.995,58.1,4,1,132.8,1,120,3
25,Mother,543.461,496.401,58.1,4,1,132.8,1,120,3
26,Mother,544.017,505.664,58.1,4,1,132.8,1,120,3
27,Mother,541.942,502.07,58.1,4,1,132.8,1,120,3
28,Mother,539.867,498.476,58.1,4,1,132.8,1,120,3
29,Mother,538.348,504.145,58.1,4,1,132.8,1,120,3
30,Mother,645.542,700.996,58.1,4,1,83,1,110,3
31,Mother,549.397,497.508,58.1,4,1,132.8,1,110,3
32,Mother,547.978,493.609,58.1,4,1,132.8,1,110,3
33,Mother,546.917,502.827,58.1,4,1,132.8,1,110,3
34,Mother,545.497,498.928,58.1,4,1,132.8,1,110,3
35,Mother,544.078,495.028,58.1,4,1,132.8,1,110,3
36,Mother,543.017,504.247,58.1,4,1,132.8,1,110,3
37,Mother,541.598,500.347,58.1,4,1,132.8,1,110,3
38,Mother,540.178,496.447,58.1,4,1,132.8,1,110,3
39,Mother,537.698,501.766,58.1,4,1,132.8,1,110,3
40,Mother,549.376,500.614,58.1,4,1,132.8,1,100,3
41,Mother,548.655,496.527,58.1,4,1,132.8,1,100,3
42,Mother,547.934,492.441,58.1,4,1,132.8,1,100,3
43,Mother,545.289,501.335,58.1,4,1,132.8,1,100,3
44,Mother,544.568,497.248,58.1,4,1,132.8,1,100,3
45,Mother,543.847,493.161,58.1,4,1,132.8,1,100,3
46,Mother,541.202,502.056,58.1,4,1,132.8,1,100,3
47,Mother,540.481,497.969,58.1,4,1,132.8,1,100,3
48,Mother,539.76,493.882,58.1,4,1,132.8,1,100,3
49,Mother,547.8,502.15,58.1,4,1,132.8,1,90,3
50,Mother,547.8,498,58.1,4,1,132.8,1,90,3
51,Mother,547.8,493.85,58.1,4,1,132.8,1,90,3
52,Mother,543.65,498,58.1,4,1,132.8,1,90,3
53,Mother,543.65,493.85,58.1,4,1,132.8,1,90,3
0,Mother,542.315,526.584,58.1,4,2,107.9,1,20,3
1,Mother,536.631,523.932,58.1,4,2,107.9,1,10,3
2,Mother,541.439,527.298,58.1,4,2,107.9,1,10,3
3,Mother,537.352,528.019,58.1,4,2,107.9,1,10,3
4,Mother,537.619,524.859,58.1,4,2,107.9,1,170,3
5,Mother,660.882,625.08,58.1,4,2,83,1,120,3
6,Mother,527.566,510.37,58.1,4,2,132.8,1,120,3
7,Mother,523.972,512.445,58.1,4,2,132.8,1,120,3
8,Mother,531.318,508.505,58.1,4,2,132.8,1,110,3
9,Mother,529.898,504.605,58.1,4,2,132.8,1,110,3
10,Mother,527.418,509.924,58.1,4,2,132.8,1,110,3
11,Mother,525.999,506.025,58.1,4,2,132.8,1,110,3
12,Mother,533.749,507.584,58.1,4,2,132.8,1,100,3
13,Mother,533.028,503.497,58.1,4,2,132.8,1,100,3
14,Mother,530.382,512.391,58.1,4,2,132.8,1,100,3
15,Mother,529.662,508.305,58.1,4,2,132.8,1,100,3
16,Mother,528.941,504.218,58.1,4,2,132.8,1,100,3
17,Mother,525.575,509.025,58.1,4,2,132.8,1,100,3
18,Mother,524.854,504.938,58.1,4,2,132.8,1,100,3
19,Mother,531.2,506.3,58.1,4,2,132.8,1,90,3
0,Mother,392.84,552.982,58.1,4,3,83,1,60,3
1,Mother,390.765,556.576,58.1,4,3,83,1,60,3
2,Mother,388.69,560.17,58.1,4,3,83,1,60,3
3,Mother,394.359,558.651,58.1,4,3,83,1,60,3
4,Mother,392.284,562.245,58.1,4,3,83,1,60,3
5,Mother,390.15,551.602,58.1,4,3,83,1,50,3
6,Mother,387.483,554.781,58.1,4,3,83,1,50,3
7,Mother,393.329,554.27,58.1,4,3,83,1,50,3
8,Mother,390.662,557.449,58.1,4,3,83,1,50,3
9,Mother,387.994,560.628,58.1,4,3,83,1,50,3
10,Mother,389.897,550.178,58.1,4,3,83,1,40,3
11,Mother,386.718,552.845,58.1,4,3,83,1,40,3
12,Mother,392.565,553.357,58.1,4,3,83,1,40,3
13,Mother,389.386,556.024,58.1,4,3,83,1,40,3
14,Mother,386.207,558.692,58.1,4,3,83,1,40,3
15,Mother,388.874,561.871,58.1,4,3,83,1,40,3
16,Mother,395.161,692.032,58.1,4,3,83,1,40,3
17,Mother,388.77,552.168,58.1,4,3,83,1,30,3
18,Mother,385.176,554.243,58.1,4,3,83,1,30,3
19,Mother,390.845,555.762,58.1,4,3,83,1,30,3
20,Mother,387.251,557.837,58.1,4,3,83,1,30,3
21,Mother,383.657,559.912,58.1,4,3,83,1,30,3
22,Mother,388.089,551.803,58.1,4,3,83,1,20,3
23,Mother,384.189,553.223,58.1,4,3,83,1,20,3
24,Mother,389.508,555.703,58.1,4,3,83,1,20,3
25,Mother,385.609,557.122,58.1,4,3,83,1,20,3
26,Mother,385.414,550.595,58.1,4,3,83,1,10,3
27,Mother,381.327,551.316,58.1,4,3,83,1,10,3
28,Mother,386.135,554.682,58.1,4,3,83,1,10,3
29,Mother,382.048,555.403,58.1,4,3,83,1,10,3
30,Mother,555.141,533.31,58.1,4,3,107.9,1,10,3
31,Mother,551.054,534.031,58.1,4,3,107.9,1,10,3
32,Mother,551.774,538.118,58.1,4,3,107.9,1,10,3
33,Mother,551.95,531.2,58.1,4,3,107.9,1,180,3
34,Mother,551.95,535.35,58.1,4,3,107.9,1,180,3
35,Mother,385.207,552.767,58.1,4,3,83,1,170,3
36,Mother,381.12,552.047,58.1,4,3,83,1,170,3
37,Mother,553.246,531.829,58.1,4,3,107.9,1,170,3
38,Mother,549.159,531.108,58.1,4,3,107.9,1,170,3
39,Mother,552.525,535.916,58.1,4,3,107.9,1,170,3
40,Mother,548.438,535.195,58.1,4,3,107.9,1,170,3
41,Mother,384.118,552.85,58.1,4,3,83,1,160,3
42,Mother,380.218,551.43,58.1,4,3,83,1,160,3
43,Mother,382.698,556.75,58.1,4,3,83,1,160,3
44,Mother,385.652,548.832,58.1,4,3,83,1,150,3
