eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
44,Mother,544.568,497.248,58.1,4,1,132.8,1,100,3
12,Mother,455.675,768.797,58.1,4,1,83,1,160,3
13,Mother,515.821,331.673,58.1,4,1,107.9,1,150,3
30,Mother,645.542,700.996,58.1,4,1,83,1,110,3
15,Mother,529.662,508.305,58.1,4,2,132.8,1,100,3
5,Mother,660.882,625.08,58.1,4,2,83,1,120,3
47,Mother,383.577,552.426,58.1,4,3,83,1,150,3
16,Mother,395.161,692.032,58.1,4,3,83,1,40,3
69,Mother,539.277,515.037,58.1,4,3,132.8,1,100,3
50,Mother,510.559,357.387,58.1,4,3,132.8,1,150,3
65,Mother,432.512,698.209,58.1,4,3,83,1,100,3
0,Mother,227.963,506.042,58.1,4,4,83,1,30,3
4,Mother,548.438,535.195,58.1,4,4,107.9,1,170,3
14,Mother,506.965,355.312,58.1,4,4,132.8,1,150,3
0,Mother,409.581,774.102,58.1,4,5,83,1,70,3
41,Mother,499.221,360.425,58.1,4,5,107.9,1,150,3
35,Mother,404.545,698.708,58.1,4,5,83,1,150,3
14,Mother,445.053,591.553,58.1,4,5,83,1,30,3
61,Mother,539.997,519.124,58.1,4,5,132.8,1,100,3
22,Mother,235.618,134.487,58.1,4,5,83,1,170,3
28,Mother,310.08,331.584,58.1,4,5,83,1,160,3
120,Mother,449.61,574.546,58.1,4,6,83,1,30,3
94,Mother,537.048,383.364,58.1,4,6,83,1,40,3
255,Mother,544.805,522.49,58.1,4,6,132.8,1,100,3
53,Mother,389.613,699.671,58.1,4,6,83,1,60,3
248,Mother,70.0079,530.358,58.1,4,6,83,1,100,3
116,Mother,523.166,543.162,58.1,4,7,132.8,1,100,3
36,Mother,468.91,400.475,58.1,4,7,83,1,30,3
107,Mother,64.7165,548.147,58.1,4,7,83,1,100,3
1,Mother,336.15,531.2,58.1,4,8,83,1,90,3
179,Mother,525.812,534.268,58.1,4,8,132.8,1,100,3
16,Mother,65.2202,479.489,58.1,4,8,83,1,80,3
98,Mother,431.6,344.45,58.1,4,8,83,1,180,3
112,Mother,484.758,387.203,58.1,4,8,107.9,1,140,3
166,Mother,536.354,785.25,58.1,4,8,83,1,100,3
190,Mother,78.85,543.65,58.1,4,8,83,1,90,3
74,Mother,532.341,552.059,58.1,4,9,157.7,1,60,3
106,Mother,544.809,569.84,58.1,4,9,107.9,1,20,3
132,Mother,476.952,390.696,58.1,4,9,107.9,1,150,3
196,Mother,690.484,560.014,58.1,4,9,83,1,100,3
118,Mother,533.985,532.826,58.1,4,10,132.8,1,100,3
31,Mother,293.166,789.852,58.1,4,10,83,1,50,3
72,Mother,486.914,378.177,58.1,4,10,107.9,1,140,3
48,Mother,211.867,378.923,58.1,4,10,83,1,10,3
113,Mother,76.9774,545.985,58.1,4,10,83,1,100,3
163,Mother,533.985,532.826,58.1,4,11,132.8,1,100,3
104,Mother,481.658,374.245,58.1,4,11,107.9,1,150,3
158,Mother,539.751,565.522,58.1,4,11,107.9,1,100,3
71,Mother,399.726,391.697,58.1,4,12,83,1,50,3
64,Mother,545.198,554.69,58.1,4,12,157.7,1,60,3
