eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
305,Mother,81.1963,253.131,34.23,4,1,46.455,1,100,2
84,Mother,201.269,365.029,34.23,4,1,46.455,1,50,2
249,Mother,222.232,166.81,34.23,4,1,75.795,1,120,2
117,Mother,206.739,298.937,34.23,4,1,90.465,1,40,2
48,Mother,369.429,221.065,34.23,4,1,75.795,1,70,2
189,Mother,202.066,314.63,34.23,4,1,61.125,1,140,2
175,Mother,85.0057,168.903,34.23,4,1,46.455,1,170,2
187,Mother,354.478,220.273,34.23,4,1,90.465,1,150,2
188,Mother,51.4958,220.204,34.23,4,1,46.455,1,140,2
274,Mother,45.441,310.492,34.23,4,1,46.455,1,110,2
211,Mother,215.048,164.296,34.23,4,1,61.125,1,130,2
300,Mother,100.18,219.991,34.23,4,1,46.455,1,100,2
338,Mother,168.705,78.24,34.23,4,1,46.455,1,90,2
154,Mother,102.69,212.715,34.23,4,2,61.125,1,90,2
42,Mother,202.705,321.701,34.23,4,2,61.125,1,70,2
11,Mother,119.805,288.51,34.23,4,2,75.795,1,90,2
128,Mother,52.7729,380.677,34.23,4,2,61.125,1,110,2
54,Mother,208.46,367.871,34.23,4,2,46.455,1,50,2
67,Mother,361.134,236.247,34.23,4,2,90.465,1,30,2
92,Mother,228.567,164.517,34.23,4,2,46.455,1,150,2
107,Mother,262.497,217.041,34.23,4,2,46.455,1,130,2
134,Mother,348.726,228.727,34.23,4,2,105.135,1,110,2
162,Mother,169.967,163.823,34.23,4,3,75.795,1,130,2
177,Mother,45.7012,364.72,34.23,4,3,61.125,1,120,2
27,Mother,194.983,372.521,34.23,4,3,46.455,1,50,2
43,Mother,358.343,232.368,34.23,4,3,90.465,1,40,2
63,Mother,212.715,334.965,34.23,4,3,46.455,1,180,2
145,Mother,183.852,104.296,34.23,4,3,61.125,1,130,2
251,Mother,391.2,496.335,34.23,4,3,46.455,1,90,2
0,Mother,241.54,365.329,34.23,4,4,46.455,1,80,2
15,Mother,360.653,230.881,34.23,4,4,90.465,1,70,2
29,Mother,327.559,142.252,34.23,4,4,61.125,1,50,2
52,Mother,346.312,244.804,34.23,4,4,105.135,1,30,2
97,Mother,58.2132,350.155,34.23,4,4,61.125,1,130,2
64,Mother,190.153,384.783,34.23,4,4,75.795,1,160,2
94,Mother,331.584,247.764,34.23,4,4,134.475,1,140,2
38,Mother,364.931,236.416,34.23,4,5,90.465,1,40,2
24,Mother,339.679,138.324,34.23,4,5,46.455,1,60,2
85,Mother,201.852,381.235,34.23,4,5,75.795,1,160,2
184,Mother,346.88,236.007,34.23,4,5,119.805,1,120,2
165,Mother,263.381,213.633,34.23,4,5,75.795,1,120,2
124,Mother,73.7998,330.693,34.23,4,5,61.125,1,130,2
118,Mother,78.1258,221.736,34.23,4,5,46.455,1,130,2
218,Mother,342.044,238.964,34.23,4,5,105.135,1,110,2
52,Mother,81.8069,328.623,34.23,4,6,61.125,1,140,2
6,Mother,368.189,137.845,34.23,4,6,46.455,1,60,2
3,Mother,45.0103,261.703,34.23,4,6,61.125,1,70,2
112,Mother,358.127,233.111,34.23,4,6,119.805,1,110,2
16,Mother,209.27,388.86,34.23,4,6,46.455,1,30,2
36,Mother,197.308,101.298,34.23,4,6,46.455,1,150,2
58,Mother,248.956,193.295,34.23,4,6,46.455,1,130,2
59,Mother,83.4433,220.466,34.23,4,6,46.455,1,130,2
118,Mother,353.532,234.783,34.23,4,6,119.805,1,110,2
43,Mother,373.308,129.572,34.23,4,7,46.455,1,50,2
154,Mother,85.7051,333.47,34.23,4,7,61.125,1,130,2
60,Mother,379.312,230.732,34.23,4,7,90.465,1,40,2
96,Mother,366.592,235.919,34.23,4,7,105.135,1,30,2
109,Mother,103.571,281.461,34.23,4,7,46.455,1,10,2
113,Mother,268.427,329.357,34.23,4,7,46.455,1,10,2
115,Mother,328.897,390.693,34.23,4,7,46.455,1,10,2
130,Mother,215.223,373.092,34.23,4,7,75.795,1,160,2
166,Mother,359.145,130.112,34.23,4,7,75.795,1,120,2
0,Mother,353.115,126.8,34.23,4,8,61.125,1,80,2
