eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,165.329,515.407,49.91,4,1,71.3,1,50,1
1,Mother,198.733,344.481,49.91,4,1,71.3,1,170,1
2,Mother,194.419,424.4,49.91,4,1,71.3,1,160,1
3,Mother,188.606,513.335,49.91,4,1,71.3,1,160,1
4,Mother,469.847,482.634,49.91,4,1,71.3,1,100,1
5,Mother,466.336,483.253,49.91,4,1,71.3,1,100,1
6,Mother,467.015,484.84,49.91,4,1,71.3,1,90,1
0,Mother,250.062,341.216,49.91,4,2,71.3,1,150,1
1,Mother,470.699,245.766,49.91,4,2,71.3,1,140,1
2,Mother,468.407,248.497,49.91,4,2,71.3,1,140,1
3,Mother,465.677,246.205,49.91,4,2,71.3,1,140,1
4,Mother,472.802,243.158,49.91,4,2,71.3,1,130,1
5,Mother,470.071,245.45,49.91,4,2,71.3,1,130,1
6,Mother,467.34,247.741,49.91,4,2,71.3,1,130,1
7,Mother,568.608,239.042,49.91,4,2,71.3,1,120,1
0,Mother,500.144,364.482,49.91,4,3,71.3,1,40,1
1,Mother,496.2,363.178,49.91,4,3,71.3,1,30,1
2,Mother,501.07,364.482,49.91,4,3,71.3,1,30,1
3,Mother,497.982,366.265,49.91,4,3,71.3,1,30,1
4,Mother,499.984,362.88,49.91,4,3,71.3,1,20,1
5,Mother,496.634,364.1,49.91,4,3,71.3,1,20,1
6,Mother,493.284,365.319,49.91,4,3,71.3,1,20,1
7,Mother,501.203,366.23,49.91,4,3,71.3,1,20,1
8,Mother,497.853,367.45,49.91,4,3,71.3,1,20,1
9,Mother,499.808,365.131,49.91,4,3,71.3,1,10,1
10,Mother,496.297,365.75,49.91,4,3,71.3,1,10,1
11,Mother,495.704,364.265,49.91,4,3,71.3,1,170,1
12,Mother,497.188,363.878,49.91,4,3,71.3,1,160,1
13,Mother,493.838,362.659,49.91,4,3,71.3,1,160,1
14,Mother,496.259,363.98,49.91,4,3,71.3,1,150,1
15,Mother,493.172,362.197,49.91,4,3,71.3,1,150,1
16,Mother,495.873,359.965,49.91,4,3,71.3,1,140,1
17,Mother,493.581,362.696,49.91,4,3,71.3,1,140,1
18,Mother,497.853,361.751,49.91,4,3,71.3,1,130,1
19,Mother,495.561,359.02,49.91,4,3,71.3,1,130,1
20,Mother,492.83,361.312,49.91,4,3,71.3,1,130,1
21,Mother,499.287,361.395,49.91,4,3,71.3,1,120,1
22,Mother,497.505,358.308,49.91,4,3,71.3,1,120,1
23,Mother,494.417,360.09,49.91,4,3,71.3,1,120,1
24,Mother,498.764,359.53,49.91,4,3,71.3,1,110,1
0,Mother,436.808,459.499,49.91,4,4,71.3,1,10,1
1,Mother,433.297,460.118,49.91,4,4,71.3,1,10,1
2,Mother,584.66,310.155,49.91,4,4,71.3,1,180,1
3,Mother,434.93,459.885,49.91,4,4,71.3,1,180,1
4,Mother,434.93,463.45,49.91,4,4,71.3,1,180,1
5,Mother,585.324,307.668,49.91,4,4,71.3,1,170,1
6,Mother,584.705,311.179,49.91,4,4,71.3,1,170,1
7,Mother,219.188,323.391,49.91,4,4,71.3,1,150,1
8,Mother,602.035,416.469,49.91,4,4,71.3,1,140,1
9,Mother,602.101,413.89,49.91,4,4,71.3,1,130,1
10,Mother,599.809,411.159,49.91,4,4,71.3,1,130,1
11,Mother,501.996,372.236,49.91,4,4,71.3,1,130,1
12,Mother,602.988,412.669,49.91,4,4,71.3,1,120,1
13,Mother,601.205,409.582,49.91,4,4,71.3,1,120,1
14,Mother,501.547,372.44,49.91,4,4,71.3,1,120,1
