eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
3,Mother,188.606,513.335,49.91,4,1,71.3,1,160,1
1,Mother,198.733,344.481,49.91,4,1,71.3,1,170,1
2,Mother,194.419,424.4,49.91,4,1,71.3,1,160,1
5,Mother,466.336,483.253,49.91,4,1,71.3,1,100,1
0,Mother,250.062,341.216,49.91,4,2,71.3,1,150,1
5,Mother,470.071,245.45,49.91,4,2,71.3,1,130,1
7,Mother,568.608,239.042,49.91,4,2,71.3,1,120,1
22,Mother,497.505,358.308,49.91,4,3,71.3,1,120,1
0,Mother,436.808,459.499,49.91,4,4,71.3,1,10,1
5,Mother,585.324,307.668,49.91,4,4,71.3,1,170,1
7,Mother,219.188,323.391,49.91,4,4,71.3,1,150,1
18,Mother,601.614,408.72,49.91,4,4,71.3,1,100,1
19,Mother,504.557,371.533,49.91,4,4,71.3,1,100,1
0,Mother,434.067,396.658,49.91,4,5,71.3,1,40,1
3,Mother,440.319,458.88,49.91,4,5,71.3,1,10,1
5,Mother,588.088,297.618,49.91,4,5,71.3,1,150,1
0,Mother,420.67,385.02,49.91,4,7,71.3,1,90,1
3,Mother,597.306,342.361,49.91,4,7,71.3,1,80,1
15,Mother,209.346,414.658,49.91,4,7,71.3,1,160,1
16,Mother,506.012,210.637,49.91,4,7,71.3,1,130,1
1,Mother,490.945,209.319,49.91,4,8,71.3,1,130,1
3,Mother,152.174,428.772,49.91,4,8,71.3,1,110,1
2,Mother,417.643,375.841,49.91,4,9,71.3,1,80,1
0,Mother,458.827,428.815,49.91,4,10,71.3,1,150,1
6,Mother,624.969,274.282,49.91,4,10,71.3,1,100,1
7,Mother,536.808,418.573,49.91,4,11,92.69,1,80,1
28,Mother,602.445,372.373,49.91,4,11,92.69,1,100,1
0,Mother,463.219,435.467,49.91,4,12,71.3,1,150,1
43,Mother,494.271,428.428,49.91,4,13,92.69,1,140,1
19,Mother,265.006,326.893,49.91,4,13,71.3,1,10,1
28,Mother,463.072,374.224,49.91,4,13,71.3,1,160,1
22,Mother,213.412,466.53,49.91,4,13,71.3,1,170,1
42,Mother,322.439,489.009,49.91,4,13,71.3,1,140,1
0,Mother,458.861,220.075,49.91,4,14,71.3,1,120,1
2,Mother,617.135,270.912,49.91,4,15,71.3,1,140,1
1,Mother,438.136,507.432,49.91,4,15,71.3,1,150,1
0,Mother,432.323,497.889,49.91,4,16,71.3,1,170,1
3,Mother,610.261,279.104,49.91,4,16,71.3,1,140,1
6,Mother,652.86,441.105,49.91,4,16,71.3,1,130,1
7,Mother,420.306,324.849,49.91,4,16,71.3,1,100,1
0,Mother,294.019,241.149,49.91,4,17,71.3,1,30,1
1,Mother,409.016,263.815,49.91,4,17,71.3,1,140,1
0,Mother,617.769,69.2113,49.91,4,18,71.3,1,10,1
1,Mother,420.507,425.952,49.91,4,18,71.3,1,110,1
18,Mother,515.24,436.715,49.91,4,19,92.69,1,50,1
27,Mother,310.155,392.15,49.91,4,19,71.3,1,180,1
30,Mother,711.174,162.857,49.91,4,19,71.3,1,150,1
35,Mother,573.257,289.873,49.91,4,19,71.3,1,120,1
0,Mother,506.431,282.897,49.91,4,20,71.3,1,170,1
1,Mother,332.314,441.724,49.91,4,20,71.3,1,100,1
1,Mother,505.905,283.102,49.91,4,21,71.3,1,150,1
2,Mother,579.46,299.809,49.91,4,21,71.3,1,110,1
0,Mother,324.877,461.136,49.91,4,22,71.3,1,10,1
0,Mother,512.719,373.324,49.91,4,23,71.3,1,70,1
1,Mother,450.014,387.931,49.91,4,24,71.3,1,130,1
0,Mother,656.251,114.475,49.91,4,25,71.3,1,160,1
0,Mother,408.421,170.24,49.91,4,26,114.08,1,140,1
1,Mother,538.178,157.815,49.91,4,26,71.3,1,120,1
15,Mother,579.523,365.555,49.91,4,28,92.69,1,10,1
24,Mother,487.461,493.132,49.91,4,28,71.3,1,170,1
36,Mother,276.548,494.998,49.91,4,28,71.3,1,100,1
0,Mother,518.883,237.068,49.91,4,29,71.3,1,130,1
1,Mother,530.451,508.063,49.91,4,29,92.69,1,120,1
2,Mother,376.548,158.805,49.91,4,29,71.3,1,100,1
0,Mother,312.708,351.062,49.91,4,30,71.3,1,10,1
1,Mother,572.917,348.62,49.91,4,30,71.3,1,10,1
6,Mother,418.352,194.814,49.91,4,30,92.69,1,160,1
4,Mother,506.29,484.798,49.91,4,30,71.3,1,160,1
7,Mother,531.408,245.516,49.91,4,30,71.3,1,140,1
9,Mother,586.977,223.061,49.91,4,30,71.3,1,100,1
4,Mother,591.726,229.463,49.91,4,31,71.3,1,100,1
0,Mother,489.249,428.867,49.91,4,32,71.3,1,140,1
0,Mother,447.578,308.72,49.91,4,33,71.3,1,170,1
4,Mother,341.831,436.322,49.91,4,33,71.3,1,160,1
3,Mother,482.002,217.98,49.91,4,33,71.3,1,160,1
6,Mother,543.116,249.31,49.91,4,33,71.3,1,130,1
0,Mother,527.62,306.59,49.91,4,34,71.3,1,180,1
2,Mother,481.656,431.187,49.91,4,34,71.3,1,130,1
4,Mother,616.302,225.13,49.91,4,34,71.3,1,100,1
0,Mother,484.84,402.845,49.91,4,35,71.3,1,90,1
3,Mother,403.928,146.012,49.91,4,35,71.3,1,60,1
4,Mother,521.864,367.813,49.91,4,35,71.3,1,50,1
5,Mother,387.892,166.975,49.91,4,35,114.08,1,50,1
8,Mother,407.637,132.351,49.91,4,36,71.3,1,50,1
10,Mother,392.035,156.491,49.91,4,36,114.08,1,50,1
20,Mother,321.754,523.477,49.91,4,36,71.3,1,130,1
7,Mother,409.489,124.598,49.91,4,37,71.3,1,50,1
9,Mother,336.452,158.805,49.91,4,37,71.3,1,170,1
12,Mother,385.604,167.472,49.91,4,37,178.25,1,170,1
13,Mother,212.376,468.874,49.91,4,37,71.3,1,160,1
18,Mother,486.3,221.627,49.91,4,37,71.3,1,140,1
3,Mother,406.188,134.967,49.91,4,38,71.3,1,60,1
11,Mother,380.855,173.875,49.91,4,38,156.86,1,170,1
14,Mother,474.145,313.72,49.91,4,38,92.69,1,90,1
0,Mother,461.323,433.859,49.91,4,39,71.3,1,20,1
2,Mother,374.453,169.126,49.91,4,39,156.86,1,170,1
6,Mother,358.854,203.717,49.91,4,39,71.3,1,120,1
0,Mother,385.02,142.6,49.91,4,40,92.69,1,90,1
1,Mother,694.337,120.55,49.91,4,40,71.3,1,170,1
6,Mother,356.75,210.231,49.91,4,40,71.3,1,130,1
4,Mother,339.479,150.931,49.91,4,40,114.08,1,160,1
7,Mother,362.291,181.15,49.91,4,40,92.69,1,120,1
8,Mother,451.79,126.237,49.91,4,40,71.3,1,110,1
9,Mother,322.138,457.961,49.91,4,40,71.3,1,110,1
2,Mother,388.83,119.574,49.91,4,41,71.3,1,70,1
24,Mother,350.419,196.237,49.91,4,41,92.69,1,120,1
13,Mother,541.642,188.95,49.91,4,41,71.3,1,140,1
15,Mother,491.072,160.478,49.91,4,41,71.3,1,140,1
2,Mother,396.959,144.134,49.91,4,42,92.69,1,80,1
28,Mother,361.941,201.934,49.91,4,42,92.69,1,120,1
19,Mother,564.525,236,49.91,4,42,71.3,1,130,1
3,Mother,392.15,139.035,49.91,4,43,92.69,1,90,1
41,Mother,364.551,192.195,49.91,4,43,92.69,1,120,1
0,Mother,395.715,153.295,49.91,4,44,92.69,1,90,1
16,Mother,369.025,211.643,49.91,4,44,92.69,1,140,1
13,Mother,364.882,222.128,49.91,4,44,71.3,1,140,1
26,Mother,366.795,211.11,49.91,4,45,92.69,1,130,1
11,Mother,466.597,272.757,49.91,4,45,71.3,1,150,1
42,Mother,130.33,528.02,49.91,4,45,71.3,1,100,1
6,Mother,365.383,198.334,49.91,4,46,92.69,1,130,1
28,Mother,360.065,199.64,49.91,4,47,92.69,1,90,1
5,Mother,360.17,219.163,49.91,4,47,71.3,1,160,1
0,Mother,452.743,320.49,49.91,4,48,71.3,1,170,1
12,Mother,360.894,220.715,49.91,4,48,92.69,1,130,1
0,Mother,267.375,342.24,49.91,4,49,71.3,1,90,1
1,Mother,449.19,324.415,49.91,4,49,71.3,1,180,1
9,Mother,361.334,215.693,49.91,4,49,92.69,1,130,1
0,Mother,441.193,114.827,49.91,4,50,92.69,1,10,1
5,Mother,371.379,216.572,49.91,4,50,92.69,1,130,1
1,Mother,389.938,142.896,49.91,4,51,71.3,1,80,1
2,Mother,510.28,161.856,49.91,4,51,71.3,1,20,1
3,Mother,637.063,115.079,49.91,4,51,71.3,1,160,1
