eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,582.12,450.45,48.51,4,1,110.88,1,90,0
1,Mother,92.9798,214.959,48.51,4,1,69.3,1,80,0
7,Mother,256.803,266.9,48.51,4,1,69.3,1,70,0
77,Mother,649.1,134.125,48.51,4,1,69.3,1,140,0
4,Mother,603.861,530.222,48.51,4,1,69.3,1,80,0
6,Mother,198.255,42.784,48.51,4,1,69.3,1,70,0
10,Mother,246.09,458.431,48.51,4,1,69.3,1,70,0
11,Mother,323.349,479.176,48.51,4,1,69.3,1,70,0
12,Mother,446.252,313.729,48.51,4,1,69.3,1,70,0
14,Mother,403.576,471.503,48.51,4,1,69.3,1,70,0
18,Mother,165.243,345.132,48.51,4,1,69.3,1,60,0
57,Mother,193.924,466.005,48.51,4,1,69.3,1,10,0
48,Mother,456.678,454.876,48.51,4,1,69.3,1,20,0
34,Mother,398.609,71.6973,48.51,4,1,69.3,1,40,0
37,Mother,385.585,417.345,48.51,4,1,69.3,1,40,0
44,Mother,387.943,266.026,48.51,4,1,69.3,1,20,0
42,Mother,348.786,-3.65041,48.51,4,1,69.3,1,20,0
54,Mother,112.267,202.446,48.51,4,1,69.3,1,10,0
51,Mother,472.611,275.77,48.51,4,1,90.09,1,20,0
60,Mother,374.22,436.59,48.51,4,1,69.3,1,180,0
62,Mother,528.748,217.909,48.51,4,1,69.3,1,170,0
70,Mother,205.018,196.428,48.51,4,1,69.3,1,160,0
66,Mother,269.648,450.18,48.51,4,1,69.3,1,170,0
82,Mother,599.521,101.57,48.51,4,1,69.3,1,140,0
83,Mother,230.168,40.4238,48.51,4,1,69.3,1,140,0
86,Mother,486.581,466.116,48.51,4,1,69.3,1,110,0
87,Mother,699.72,443.851,48.51,4,1,110.88,1,110,0
88,Mother,469.98,16.2258,48.51,4,1,69.3,1,100,0
89,Mother,285.663,407.608,48.51,4,1,69.3,1,100,0
187,Mother,370.166,280.076,48.51,4,2,69.3,1,120,0
142,Mother,371.662,271.951,48.51,4,2,90.09,1,20,0
2,Mother,422.73,318.78,48.51,4,2,69.3,1,90,0
17,Mother,548.06,527.42,48.51,4,2,69.3,1,80,0
48,Mother,627.28,147.769,48.51,4,2,69.3,1,60,0
12,Mother,297.936,349.615,48.51,4,2,69.3,1,80,0
63,Mother,88.4776,220.065,48.51,4,2,69.3,1,50,0
28,Mother,243.42,475.896,48.51,4,2,69.3,1,70,0
131,Mother,346.153,100.555,48.51,4,2,69.3,1,20,0
135,Mother,577.379,178.64,48.51,4,2,69.3,1,20,0
66,Mother,237.851,521.81,48.51,4,2,69.3,1,50,0
129,Mother,344.968,97.2986,48.51,4,2,69.3,1,20,0
138,Mother,608.778,244.646,48.51,4,2,69.3,1,20,0
119,Mother,277.764,473.461,48.51,4,2,69.3,1,30,0
121,Mother,428.167,82.547,48.51,4,2,90.09,1,30,0
133,Mother,97.2218,216.97,48.51,4,2,69.3,1,20,0
155,Mother,523.215,242.55,48.51,4,2,69.3,1,180,0
161,Mother,515.299,73.3691,48.51,4,2,69.3,1,160,0
164,Mother,578,115.316,48.51,4,2,69.3,1,150,0
167,Mother,419.38,507.862,48.51,4,2,69.3,1,150,0
183,Mother,656.791,270.634,48.51,4,2,69.3,1,120,0
202,Mother,366.335,277.578,48.51,4,2,69.3,1,110,0
203,Mother,296.235,480.086,48.51,4,2,69.3,1,110,0
204,Mother,680.184,450.962,48.51,4,2,110.88,1,110,0
211,Mother,638.314,531.904,48.51,4,2,69.3,1,100,0
212,Mother,450.709,26.6607,48.51,4,2,69.3,1,100,0
219,Mother,309.532,523.027,48.51,4,2,69.3,1,100,0
152,Mother,365.969,284.376,48.51,4,3,69.3,1,10,0
60,Mother,488.316,83.5421,48.51,4,3,69.3,1,60,0
71,Mother,645.749,150.43,48.51,4,3,69.3,1,60,0
12,Mother,575.19,453.915,48.51,4,3,110.88,1,90,0
14,Mother,179.517,402.622,48.51,4,3,69.3,1,80,0
102,Mother,80.3907,166.831,48.51,4,3,69.3,1,40,0
