eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,155.795,138.073,48.51,4,31,69.3,1,80,0
1,Mother,552.239,264.272,48.51,4,31,69.3,1,80,0
2,Mother,551.637,267.685,48.51,4,31,69.3,1,80,0
3,Mother,507.104,460.384,48.51,4,31,110.88,1,80,0
4,Mother,157.375,134.839,48.51,4,31,69.3,1,70,0
5,Mother,551.654,267.283,48.51,4,31,69.3,1,70,0
6,Mother,231.36,71.2235,48.51,4,31,69.3,1,60,0
7,Mother,551.979,264.335,48.51,4,31,69.3,1,60,0
8,Mother,554.98,266.068,48.51,4,31,69.3,1,60,0
9,Mother,542.512,266.872,48.51,4,31,90.09,1,60,0
10,Mother,278.465,58.3337,48.51,4,31,69.3,1,50,0
11,Mother,101.625,398.457,48.51,4,31,69.3,1,50,0
12,Mother,313.059,453.744,48.51,4,31,69.3,1,50,0
13,Mother,544.846,263.76,48.51,4,31,90.09,1,50,0
14,Mother,542.618,266.415,48.51,4,31,90.09,1,50,0
15,Mother,236.662,67.3667,48.51,4,31,69.3,1,40,0
16,Mother,281.877,56.5656,48.51,4,31,69.3,1,40,0
17,Mother,104.679,395.228,48.51,4,31,69.3,1,40,0
18,Mother,541.672,263.756,48.51,4,31,90.09,1,40,0
19,Mother,546.554,264.183,48.51,4,31,90.09,1,40,0
20,Mother,543.9,266.41,48.51,4,31,90.09,1,40,0
21,Mother,545.729,263.907,48.51,4,31,69.3,1,20,0
22,Mother,550.17,265.978,48.51,4,31,69.3,1,20,0
23,Mother,546.914,267.163,48.51,4,31,69.3,1,20,0
24,Mother,551.355,269.234,48.51,4,31,69.3,1,20,0
25,Mother,548.099,270.419,48.51,4,31,69.3,1,20,0
26,Mother,246.569,66.1745,48.51,4,31,69.3,1,10,0
27,Mother,208.226,108.12,48.51,4,31,69.3,1,10,0
28,Mother,548.629,262.723,48.51,4,31,69.3,1,10,0
29,Mother,545.216,263.325,48.51,4,31,69.3,1,10,0
30,Mother,549.23,266.136,48.51,4,31,69.3,1,10,0
31,Mother,545.818,266.737,48.51,4,31,69.3,1,10,0
32,Mother,549.832,269.548,48.51,4,31,69.3,1,10,0
33,Mother,546.42,270.15,48.51,4,31,69.3,1,10,0
34,Mother,550.434,272.96,48.51,4,31,69.3,1,10,0
35,Mother,249.48,65.835,48.51,4,31,69.3,1,180,0
36,Mother,547.47,263.34,48.51,4,31,69.3,1,180,0
37,Mother,544.005,263.34,48.51,4,31,69.3,1,180,0
38,Mother,550.935,266.805,48.51,4,31,69.3,1,180,0
39,Mother,547.47,266.805,48.51,4,31,69.3,1,180,0
40,Mother,544.005,266.805,48.51,4,31,69.3,1,180,0
41,Mother,550.935,270.27,48.51,4,31,69.3,1,180,0
42,Mother,547.47,270.27,48.51,4,31,69.3,1,180,0
43,Mother,544.005,270.27,48.51,4,31,69.3,1,180,0
44,Mother,548.826,263.671,48.51,4,31,69.3,1,170,0
45,Mother,545.414,263.069,48.51,4,31,69.3,1,170,0
46,Mother,551.637,267.685,48.51,4,31,69.3,1,170,0
47,Mother,548.225,267.083,48.51,4,31,69.3,1,170,0
48,Mother,544.812,266.481,48.51,4,31,69.3,1,170,0
49,Mother,551.035,271.097,48.51,4,31,69.3,1,170,0
50,Mother,547.623,270.495,48.51,4,31,69.3,1,170,0
51,Mother,544.211,269.894,48.51,4,31,69.3,1,170,0
52,Mother,495.053,409.001,48.51,4,31,69.3,1,170,0
53,Mother,54.4633,373.535,48.51,4,31,69.3,1,170,0
54,Mother,332.876,450.774,48.51,4,31,69.3,1,170,0
55,Mother,332.274,454.186,48.51,4,31,69.3,1,170,0
56,Mother,548.398,266.098,48.51,4,31,69.3,1,160,0
57,Mother,550.469,270.539,48.51,4,31,69.3,1,160,0
58,Mother,547.213,269.354,48.51,4,31,69.3,1,160,0
59,Mother,125.03,395.932,48.51,4,31,69.3,1,160,0
60,Mother,58.724,375.486,48.51,4,31,69.3,1,160,0
61,Mother,338.824,453.351,48.51,4,31,69.3,1,150,0
