eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,155.795,138.073,48.51,4,31,69.3,1,80,0
47,Mother,548.225,267.083,48.51,4,31,69.3,1,170,0
3,Mother,507.104,460.384,48.51,4,31,110.88,1,80,0
6,Mother,231.36,71.2235,48.51,4,31,69.3,1,60,0
10,Mother,278.465,58.3337,48.51,4,31,69.3,1,50,0
17,Mother,104.679,395.228,48.51,4,31,69.3,1,40,0
12,Mother,313.059,453.744,48.51,4,31,69.3,1,50,0
35,Mother,249.48,65.835,48.51,4,31,69.3,1,180,0
27,Mother,208.226,108.12,48.51,4,31,69.3,1,10,0
52,Mother,495.053,409.001,48.51,4,31,69.3,1,170,0
65,Mother,63.0915,379.693,48.51,4,31,69.3,1,140,0
54,Mother,332.876,450.774,48.51,4,31,69.3,1,170,0
71,Mother,134.283,409.974,48.51,4,31,69.3,1,110,0
62,Mother,184.585,137.872,48.51,4,31,69.3,1,140,0
63,Mother,271.292,341.802,48.51,4,31,69.3,1,140,0
64,Mother,402.544,492.645,48.51,4,31,69.3,1,140,0
66,Mother,577.768,441.537,48.51,4,31,90.09,1,130,0
73,Mother,176.715,509.355,48.51,4,31,69.3,1,90,0
69,Mother,523.559,375.223,48.51,4,31,69.3,1,110,0
72,Mother,296.337,148.879,48.51,4,31,69.3,1,100,0
