eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation
1,Mother,320,193,14,5,31,80.85,1.4,50
1,Daughter1,320,203,10.5184,5,32,34.65,2.4,40
1,Daughter2,357,191,14,5,32,46.2,1.8,50
2,Mother,395,161,14,5,38,92.4,1,160
2,Daughter1,367,175,14,5,39,46.2,2,50
2,Daughter2,388,148,14,5,39,103.95,1,160
3,Mother,297,409,14,5,97,80.85,1.2,30
3,Daughter1,266,423,14,5,98,57.75,1.4,30
3,Daughter2,304,407,14,5,98,46.2,2.2,20
4,Mother,231,417,14,5,133,80.85,1.2,0
4,Daughter1,213,427,14,5,134,57.75,1.4,10
4,Daughter2,262,412,15.4,5,134,69.3,1,20
