eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
4,Mother,380.533,311.934,48.51,5,31,69.3,1,70,0
13,Mother,320.206,194.538,48.51,5,31,90.09,1,60,0
16,Mother,533.51,261.674,48.51,5,31,90.09,1,60,0
25,Mother,521.292,271.811,48.51,5,31,69.3,1,40,0
45,Mother,305.164,178.988,48.51,5,31,69.3,1,100,0
3,Mother,428.665,116.518,48.51,5,32,90.09,1,50,0
4,Mother,295.429,64.2025,48.51,5,32,69.3,1,150,0
0,Mother,236.142,60.2613,48.51,5,33,69.3,1,70,0
1,Mother,250.519,50.5529,48.51,5,33,69.3,1,20,0
2,Mother,382.687,514.993,48.51,5,33,69.3,1,20,0
3,Mother,345.542,509.379,48.51,5,33,69.3,1,160,0
6,Mother,457.756,93.1209,48.51,5,33,69.3,1,110,0
0,Mother,543.9,281.06,48.51,5,34,69.3,1,50,0
14,Mother,401.114,144.478,48.51,5,34,90.09,1,100,0
0,Mother,530.849,267.327,48.51,5,35,69.3,1,30,0
1,Mother,661.832,461.328,48.51,5,35,90.09,1,20,0
2,Mother,615.244,440.974,48.51,5,35,69.3,1,100,0
3,Mother,152.46,239.085,48.51,5,35,69.3,1,90,0
0,Mother,259.988,281.953,48.51,5,36,110.88,1,100,0
0,Mother,252.388,468.248,48.51,5,37,69.3,1,170,0
1,Mother,264.776,488.697,48.51,5,37,69.3,1,100,0
0,Mother,554.885,528.623,48.51,5,38,69.3,1,80,0
5,Mother,391.545,155.925,48.51,5,38,90.09,1,90,0
0,Mother,372.423,485.895,48.51,5,39,69.3,1,80,0
2,Mother,122.741,190.013,48.51,5,41,69.3,1,50,0
1,Mother,555.908,296.87,48.51,5,43,69.3,1,30,0
3,Mother,221.215,486.251,48.51,5,43,69.3,1,160,0
4,Mother,642.328,534.715,48.51,5,43,69.3,1,100,0
5,Mother,171.868,301.009,48.51,5,43,69.3,1,100,0
6,Mother,228.69,505.89,48.51,5,43,69.3,1,90,0
0,Mother,599.445,540.54,48.51,5,45,69.3,1,90,0
1,Mother,134.134,260.918,48.51,5,45,69.3,1,80,0
2,Mother,562.907,290.841,48.51,5,45,69.3,1,20,0
4,Mother,237.914,75.6556,48.51,5,45,69.3,1,160,0
0,Mother,458.111,339.155,48.51,5,46,69.3,1,80,0
1,Mother,258.573,523.048,48.51,5,46,69.3,1,150,0
3,Mother,309.902,258.855,48.51,5,48,69.3,1,120,0
8,Mother,263.878,369.034,48.51,5,49,90.09,1,160,0
0,Mother,133.693,316.604,48.51,5,50,69.3,1,40,0
1,Mother,653.167,536.322,48.51,5,50,69.3,1,100,0
9,Mother,244.009,324.906,48.51,5,51,131.67,1,30,0
27,Mother,545.729,316.741,48.51,5,51,69.3,1,150,0
58,Mother,327.839,227.767,48.51,5,51,69.3,1,100,0
18,Mother,398.968,38.4027,48.51,5,51,69.3,1,160,0
32,Mother,190.766,307.854,48.51,5,51,69.3,1,150,0
56,Mother,440.274,7.38988,48.51,5,51,69.3,1,100,0
3,Mother,215.916,354.383,48.51,5,53,131.67,1,150,0
6,Mother,195.746,356.612,48.51,5,53,90.09,1,100,0
8,Mother,373.41,372.026,48.51,5,54,69.3,1,70,0
13,Mother,169.272,341.002,48.51,5,54,69.3,1,170,0
14,Mother,585.192,516.375,48.51,5,54,69.3,1,170,0
22,Mother,215.367,349.154,48.51,5,54,131.67,1,140,0
30,Mother,194.04,346.5,48.51,5,54,90.09,1,90,0
1,Mother,568.534,531.03,48.51,5,55,69.3,1,80,0
2,Mother,164.126,329.04,48.51,5,55,69.3,1,160,0
4,Mother,212.745,340.736,48.51,5,55,131.67,1,130,0
1,Mother,639.64,240.354,48.51,5,56,90.09,1,130,0
3,Mother,332.686,531.665,48.51,5,57,69.3,1,80,0
1,Mother,554.4,540.54,48.51,5,57,69.3,1,90,0
2,Mother,592.515,540.54,48.51,5,57,69.3,1,90,0
5,Mother,366.537,527.049,48.51,5,57,69.3,1,100,0
6,Mother,367.29,530.145,48.51,5,57,69.3,1,90,0
0,Mother,564.52,533.84,48.51,5,58,69.3,1,80,0
1,Mother,420.137,471.858,48.51,5,58,69.3,1,10,0
8,Mother,207.496,315.41,48.51,5,58,110.88,1,140,0
15,Mother,182.707,302.616,48.51,5,58,69.3,1,100,0
3,Mother,203.317,307.938,48.51,5,59,131.67,1,130,0
4,Mother,173.25,304.92,48.51,5,59,69.3,1,90,0
0,Mother,571.094,411.407,48.51,5,60,69.3,1,60,0
1,Mother,188.938,309.285,48.51,5,60,69.3,1,170,0
14,Mother,219.762,316.756,48.51,5,60,110.88,1,130,0
15,Mother,651.42,537.075,48.51,5,60,69.3,1,90,0
8,Mother,256.41,291.06,48.51,5,61,69.3,1,90,0
3,Mother,207.006,326.544,48.51,5,61,69.3,1,170,0
7,Mother,530.145,422.73,48.51,5,61,69.3,1,90,0
0,Mother,165.658,152.603,48.51,5,62,69.3,1,160,0
0,Mother,615.459,292.984,48.51,5,63,69.3,1,150,0
1,Mother,202.036,322.583,48.51,5,63,90.09,1,130,0
0,Mother,186.169,324.654,48.51,5,64,131.67,1,50,0
0,Mother,292.975,518.904,48.51,5,65,69.3,1,150,0
0,Mother,242.522,244.846,48.51,5,66,69.3,1,80,0
2,Mother,331.465,485.7,48.51,5,66,69.3,1,110,0
3,Mother,297.532,215.519,48.51,5,67,69.3,1,10,0
5,Mother,160.331,400.493,48.51,5,67,69.3,1,110,0
1,Mother,485.277,490.177,48.51,5,68,69.3,1,70,0
3,Mother,178.958,319.966,48.51,5,68,110.88,1,20,0
0,Mother,260.185,244.442,48.51,5,69,69.3,1,170,0
1,Mother,167.095,300.621,48.51,5,69,69.3,1,160,0
0,Mother,235.466,522.013,48.51,5,70,69.3,1,10,0
0,Mother,482.426,6.99429,48.51,5,71,69.3,1,100,0
1,Mother,529.101,450.818,48.51,5,72,69.3,1,160,0
4,Mother,160.145,280.201,48.51,5,72,69.3,1,140,0
5,Mother,194.927,319.502,48.51,5,72,131.67,1,130,0
10,Mother,506.005,189.647,48.51,5,72,131.67,1,120,0
0,Mother,557.665,531.686,48.51,5,73,69.3,1,60,0
1,Mother,146.558,294.334,48.51,5,73,90.09,1,150,0
3,Mother,508.542,180.18,48.51,5,73,131.67,1,120,0
0,Mother,242.613,252.349,48.51,5,74,69.3,1,40,0
