eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,242.55,218.295,48.51,4,1,69.3,1,30,0
1,Mother,218.295,200.97,48.51,4,1,69.3,1,60,0
2,Mother,457.38,79.695,48.51,4,1,69.3,1,60,0
4,Mother,346.5,329.175,48.51,4,1,69.3,1,90,0
7,Mother,391.545,263.34,48.51,4,1,69.3,1,90,0
9,Mother,478.17,270.27,48.51,4,1,69.3,1,90,0
14,Mother,336.105,97.02,48.51,4,1,69.3,1,120,0
16,Mother,401.94,69.3,48.51,4,1,69.3,1,120,0
0,Mother,478.17,65.835,48.51,4,2,69.3,1,0,0
1,Mother,211.365,211.365,48.51,4,2,69.3,1,60,0
4,Mother,346.5,93.555,48.51,4,2,69.3,1,90,0
8,Mother,353.43,103.95,48.51,4,2,69.3,1,90,0
25,Mother,381.15,270.27,48.51,4,2,103.95,1,90,0
24,Mother,377.685,270.27,48.51,4,2,103.95,1,90,0
23,Mother,297.99,349.965,48.51,4,2,103.95,1,90,0
9,Mother,374.22,284.13,48.51,4,3,69.3,1,60,0
22,Mother,429.66,55.44,48.51,4,3,69.3,1,150,0
12,Mother,308.385,162.855,48.51,4,3,69.3,1,120,0
14,Mother,356.895,339.57,48.51,4,3,69.3,1,120,0
17,Mother,259.875,273.735,48.51,4,3,69.3,1,150,0
28,Mother,266.805,301.455,48.51,4,3,103.95,1,60,0
34,Mother,488.565,79.695,48.51,4,3,103.95,1,90,0
0,Mother,395.01,291.06,48.51,4,4,69.3,1,0,0
1,Mother,478.17,287.595,48.51,4,4,69.3,1,0,0
11,Mother,336.105,90.09,48.51,4,4,69.3,1,120,0
10,Mother,190.575,301.455,48.51,4,4,69.3,1,120,0
14,Mother,343.035,291.06,48.51,4,4,69.3,1,120,0
21,Mother,242.55,214.83,48.51,4,4,103.95,1,150,0
19,Mother,273.735,266.805,48.51,4,5,69.3,1,150,0
31,Mother,336.105,169.785,48.51,4,5,103.95,1,120,0
7,Mother,249.48,270.27,48.51,4,5,69.3,1,60,0
16,Mother,301.455,121.275,48.51,4,5,69.3,1,90,0
20,Mother,336.105,83.16,48.51,4,5,69.3,1,150,0
24,Mother,343.035,155.925,48.51,4,5,69.3,1,150,0
30,Mother,415.8,291.06,48.51,4,5,103.95,1,90,0
0,Mother,412.335,41.58,48.51,4,6,69.3,1,30,0
0,Mother,429.66,34.65,48.51,4,7,69.3,1,90,0
2,Mother,440.055,93.555,48.51,4,7,69.3,1,90,0
5,Mother,200.97,263.34,48.51,4,7,103.95,1,0,0
8,Mother,252.945,304.92,48.51,4,7,103.95,1,30,0
0,Mother,287.595,349.965,48.51,4,8,69.3,1,30,0
2,Mother,446.985,41.58,48.51,4,8,69.3,1,90,0
3,Mother,360.36,103.95,48.51,4,8,69.3,1,120,0
4,Mother,474.705,304.92,48.51,4,8,69.3,1,120,0
0,Mother,436.59,315.315,48.51,4,9,69.3,1,0,0
2,Mother,294.525,339.57,48.51,4,9,69.3,1,30,0
11,Mother,363.825,97.02,48.51,4,9,69.3,1,150,0
5,Mother,395.01,72.765,48.51,4,9,69.3,1,120,0
7,Mother,471.24,76.23,48.51,4,9,69.3,1,120,0
10,Mother,516.285,48.51,48.51,4,9,69.3,1,120,0
12,Mother,256.41,311.85,48.51,4,9,69.3,1,180,0
13,Mother,433.125,277.2,48.51,4,9,69.3,1,180,0
2,Mother,360.36,97.02,48.51,4,10,69.3,1,120,0
1,Mother,502.425,55.44,48.51,4,10,69.3,1,90,0
3,Mother,388.08,72.765,48.51,4,10,69.3,1,120,0
4,Mother,429.66,34.65,48.51,4,10,69.3,1,120,0
5,Mother,467.775,308.385,48.51,4,10,69.3,1,120,0
0,Mother,353.43,107.415,48.51,4,11,69.3,1,120,0
2,Mother,381.15,83.16,48.51,4,11,69.3,1,120,0
7,Mother,422.73,41.58,48.51,4,11,69.3,1,150,0
7,Mother,415.8,294.525,48.51,4,12,69.3,1,120,0
3,Mother,270.27,343.035,48.51,4,12,69.3,1,120,0
4,Mother,297.99,121.275,48.51,4,12,69.3,1,120,0
6,Mother,353.43,110.88,48.51,4,12,69.3,1,120,0
9,Mother,322.245,97.02,48.51,4,12,69.3,1,150,0
10,Mother,204.435,235.62,48.51,4,12,103.95,1,30,0
0,Mother,277.2,325.71,48.51,4,13,69.3,1,90,0
3,Mother,329.175,83.16,48.51,4,13,69.3,1,90,0
5,Mother,426.195,291.06,48.51,4,13,69.3,1,90,0
15,Mother,218.295,239.085,48.51,4,13,138.6,1,180,0
19,Mother,221.76,242.55,48.51,4,13,138.6,1,180,0
1,Mother,332.64,90.09,48.51,4,14,69.3,1,90,0
2,Mother,429.66,291.06,48.51,4,14,69.3,1,120,0
6,Mother,204.435,228.69,48.51,4,14,103.95,1,30,0
0,Mother,239.085,249.48,48.51,4,15,69.3,1,0,0
19,Mother,343.035,270.27,48.51,4,15,69.3,1,60,0
27,Mother,343.035,79.695,48.51,4,15,69.3,1,90,0
