eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
200,Daughter1,512.82,304.92,0,3,72,131.67,1,118,0
201,Daughter1,339.863,280.447,0,7,85,149.73,1,148,1
202,Daughter1,177.67,407.5,0,6,13,68.46,1,341,2
203,Daughter1,672.3,403.933,0,4,37,215.8,1,341,3
204,Daughter1,579.81,194.04,0,3,47,71.61,1,183,0
205,Daughter1,496.723,278.07,0,4,4,90.3133,1,271,1
206,Daughter1,229.83,353.71,0,6,37,104.32,1,323,2
207,Daughter1,373.5,423.3,0,3,115,171.533,1,359,3
208,Daughter1,413.49,256.41,0,5,77,133.98,1,245,0
209,Daughter1,280.447,413.54,0,5,137,183.003,1,288,1
