eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
38,Mother,533.61,121.275,48.51,4,2,69.3,1,100,0
26,Mother,585.585,114.345,48.51,4,2,69.3,1,60,0
6,Mother,582.12,176.715,48.51,4,2,69.3,1,20,0
7,Mother,547.47,128.205,48.51,4,3,69.3,1,20,0
48,Mother,599.445,121.275,48.51,4,3,69.3,1,60,0
10,Mother,595.98,183.645,48.51,4,3,69.3,1,20,0
91,Mother,630.63,131.67,48.51,4,4,103.95,1,20,0
2,Mother,575.19,180.18,48.51,4,4,69.3,1,0,0
20,Mother,627.165,190.575,48.51,4,4,69.3,1,20,0
90,Mother,654.885,228.69,48.51,4,4,69.3,1,120,0
16,Mother,616.77,263.34,48.51,4,4,69.3,1,20,0
28,Mother,575.19,242.55,48.51,4,4,69.3,1,40,0
0,Mother,495.495,97.02,48.51,4,4,69.3,1,0,0
76,Mother,408.87,38.115,48.51,4,4,69.3,1,120,0
15,Mother,585.585,121.275,48.51,4,5,69.3,1,40,0
2,Mother,585.585,183.645,48.51,4,5,69.3,1,0,0
52,Mother,658.35,256.41,48.51,4,5,69.3,1,100,0
17,Mother,595.98,176.715,48.51,4,6,69.3,1,60,0
46,Mother,644.49,207.9,48.51,4,6,69.3,1,120,0
32,Mother,419.265,332.64,48.51,4,7,69.3,1,60,0
24,Mother,589.05,117.81,48.51,4,7,69.3,1,40,0
10,Mother,589.05,176.715,48.51,4,7,69.3,1,20,0
4,Mother,582.12,252.945,48.51,4,7,69.3,1,20,0
60,Mother,637.56,239.085,48.51,4,7,69.3,1,100,0
0,Mother,609.84,291.06,48.51,4,7,69.3,1,0,0
60,Mother,606.375,110.88,48.51,4,8,69.3,1,80,0
23,Mother,602.91,169.785,48.51,4,8,69.3,1,40,0
93,Mother,602.91,232.155,48.51,4,8,69.3,1,120,0
71,Mother,644.49,211.365,48.51,4,8,69.3,1,80,0
1,Mother,630.63,287.595,48.51,4,8,69.3,1,0,0
36,Mother,620.235,103.95,48.51,4,9,69.3,1,60,0
5,Mother,609.84,159.39,48.51,4,9,69.3,1,20,0
39,Mother,651.42,187.11,48.51,4,9,69.3,1,60,0
7,Mother,592.515,121.275,48.51,4,10,69.3,1,20,0
13,Mother,599.445,176.715,48.51,4,10,69.3,1,20,0
86,Mother,602.91,228.69,48.51,4,10,69.3,1,120,0
0,Mother,595.98,117.81,48.51,4,11,69.3,1,0,0
38,Mother,602.91,173.25,48.51,4,11,69.3,1,60,0
6,Mother,651.42,291.06,48.51,4,11,69.3,1,0,0
0,Mother,526.68,34.65,48.51,4,12,69.3,1,0,0
3,Mother,599.445,121.275,48.51,4,12,69.3,1,20,0
7,Mother,602.91,173.25,48.51,4,12,69.3,1,20,0
40,Mother,592.515,110.88,48.51,4,13,69.3,1,120,0
2,Mother,602.91,166.32,48.51,4,13,69.3,1,20,0
20,Mother,641.025,138.6,48.51,4,14,103.95,1,40,0
0,Mother,530.145,38.115,48.51,4,14,69.3,1,0,0
11,Mother,589.05,117.81,48.51,4,14,69.3,1,60,0
17,Mother,589.05,180.18,48.51,4,14,69.3,1,80,0
2,Mother,599.445,114.345,48.51,4,15,69.3,1,40,0
3,Mother,606.375,180.18,48.51,4,15,69.3,1,40,0
6,Mother,592.515,107.415,48.51,4,16,69.3,1,40,0
14,Mother,599.445,173.25,48.51,4,16,69.3,1,60,0
17,Mother,592.515,93.555,48.51,4,17,69.3,1,80,0
6,Mother,595.98,162.855,48.51,4,17,69.3,1,40,0
59,Mother,488.565,173.25,48.51,4,18,103.95,1,20,0
8,Mother,609.84,145.53,48.51,4,18,69.3,1,20,0
54,Mother,620.235,207.9,48.51,4,18,69.3,1,120,0
13,Mother,647.955,259.875,48.51,4,18,69.3,1,20,0
