eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,382.38,257.198,48.51,4,1,90.09,1,50,0
9,Mother,237.51,216.629,48.51,4,1,69.3,1,150,0
1,Mother,515.251,235.596,48.51,4,2,69.3,1,110,0
0,Mother,433.24,63.6139,48.51,4,3,90.09,1,60,0
2,Mother,464.31,263.34,48.51,4,3,69.3,1,90,0
6,Mother,528.275,240.337,48.51,4,3,69.3,1,110,0
7,Mother,622.854,274.224,48.51,4,3,69.3,1,150,0
9,Mother,464.31,24.255,48.51,4,3,69.3,1,180,0
1,Mother,432.608,264.289,48.51,4,4,69.3,1,100,0
0,Mother,206.198,256.253,48.51,4,7,110.88,1,170,0
0,Mother,472.851,83.9393,48.51,4,8,69.3,1,70,0
0,Mother,397.24,74.9706,48.51,4,9,69.3,1,30,0
0,Mother,424.769,284.561,48.51,4,10,90.09,1,60,0
1,Mother,649.861,288.839,48.51,4,11,90.09,1,30,0
