eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
1,Daughter1,357,191,14,5,32,46.2,1.8,50,0
1,Daughter2,320,202,10.5184,5,32,34.65,3.2,40,0
2,Daughter1,367,354,14,5,32,46.2,3.4,170,0
2,Daughter2,399,336,11.5702,5,32,34.65,3,10,0
3,Daughter1,268,425,14,5,98,57.75,1.4,30,0
3,Daughter2,306,409,14,5,98,46.2,2.2,20,0
4,Daughter1,324,401,14,5,103,69.3,1.2,20,0
4,Daughter2,281,425,14,5,103,57.75,1,170,0
5,Daughter1,236,463,11.5702,5,124,34.65,2.8,30,0
5,Daughter2,259,446,11.5702,5,124,34.65,2.8,30,0
6,Daughter1,261,409,16.94,5,134,69.3,1.2,20,0
6,Daughter2,212,428,15.4,5,134,57.75,1.4,10,0
7,Daughter1,367,175,14,5,39,46.2,2,50,0
7,Daughter2,388,148,14,5,39,46,2,50,0
1,Daughter1,375,297,11.5702,6,17,35.65,1.6,150,1
1,Daughter2,424,300,12.7273,6,17,47.5333,2,120,1
2,Daughter1,525,178,18.634,6,31,59.4167,1.2,160,1
2,Daughter2,483,150,18.634,6,31,59.4167,1.8,170,1
3,Daughter1,463,182,15.4,5,85,59.4167,1.4,160,1
3,Daughter2,421,149,15.4,5,85,71.3,1.2,170,1
4,Daughter1,387,311,14,7,10,47.5333,1.8,130,1
4,Daughter2,419,330,11.5702,7,10,35.65,2.4,130,1
1,Daughter1,254,146,22.5471,6,31,73.35,1.2,160,2
1,Daughter2,301,176,14,6,31,48.9,1.6,110,2
2,Daughter1,125,130,14,7,56,48.9,2.6,160,2
2,Daughter2,159,148,12.7273,7,56,24.45,4.2,170,2
1,Daughter1,477,609,18.634,4,18,55.3333,2.4,40,3
1,Daughter2,525,594,15.4,4,18,41.5,3.2,40,3
2,Daughter1,592,386,15.4,4,39,55.3333,2.6,150,3
2,Daughter2,627,417,14,4,39,41.5,3.2,150,3
3,Daughter1,566,690,14,4,61,41.5,4,40,3
3,Daughter2,601,675,14,4,61,41.5,2.8,20,3
4,Daughter1,240,235,20.4974,4,132,69.1667,1.4,90,3
4,Daughter2,220,288,20.4974,4,132,69.1667,1.2,80,3
