eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,205,76,0,6,29,74,1,141,2
1,Mother,181,149,0,9,11,68,1,279,1
2,Mother,88,162,0,8,60,33,1,359,1
3,Mother,220,106,0,6,111,72,1,144,3
4,Mother,218,114,0,9,46,52,1,292,2
5,Mother,98,169,0,7,132,35,1,183,1
6,Mother,197,131,0,8,47,59,1,234,3
7,Mother,147,235,0,4,130,45,1,69,3
8,Mother,160,96,0,8,34,59,1,64,0
9,Mother,67,119,0,8,59,47,1,292,1
10,Mother,234,248,0,8,22,64,1,208,2
11,Mother,183,72,0,7,12,45,1,344,0
12,Mother,150,49,0,3,49,30,1,166,3
13,Mother,48,187,0,6,131,37,1,237,1
14,Mother,133,73,0,7,19,56,1,138,2
15,Mother,114,181,0,5,2,72,1,0,3
16,Mother,72,127,0,10,29,74,1,109,2
17,Mother,235,136,0,6,4,21,1,251,1
18,Mother,197,198,0,1,29,23,1,146,2
19,Mother,172,171,0,7,128,29,1,317,3
