eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,274.89,147.84,0,5,5,57.75,1,101,0
1,Mother,489.593,432.553,0,6,39,83.1833,1,13,1
2,Mother,110.84,132.03,0,7,48,92.91,1,57,2
3,Mother,116.2,511.833,0,3,72,77.4667,1,14,3
4,Mother,632.94,83.16,0,5,124,57.75,1,301,0
5,Mother,304.213,432.553,0,4,139,114.08,1,139,1
6,Mother,84.76,81.5,0,7,17,71.72,1,5,2
7,Mother,157.7,166,0,3,124,174.3,1,195,3
8,Mother,152.46,184.8,0,5,15,64.68,1,47,0
9,Mother,325.603,125.963,0,6,75,78.43,1,238,1
10,Mother,264.06,265.69,0,6,65,57.05,1,226,2
11,Mother,188.133,401.167,0,4,12,196.433,1,18,3
12,Mother,399.63,182.49,0,5,139,170.94,1,23,0
13,Mother,316.097,159.237,0,7,99,114.08,1,174,1
14,Mother,216.79,97.8,0,4,60,105.95,1,77,2
15,Mother,132.8,345.833,0,5,74,96.8333,1,155,3
16,Mother,279.51,249.48,0,5,126,48.51,1,219,0
17,Mother,392.15,313.72,0,3,48,114.08,1,34,1
18,Mother,127.14,185.82,0,6,14,89.65,1,49,2
19,Mother,423.3,450.967,0,4,6,185.367,1,215,3
20,Mother,191.73,272.58,0,4,130,175.56,1,79,0
21,Mother,468.203,439.683,0,4,71,133.093,1,67,1
22,Mother,384.68,208.64,0,5,25,102.69,1,256,2
23,Mother,154.933,318.167,0,3,20,107.9,1,235,3
24,Mother,468.93,316.47,0,4,96,154.77,1,279,0
25,Mother,553.763,225.783,0,5,4,161.613,1,235,1
26,Mother,148.33,88.02,0,6,19,35.86,1,240,2
27,Mother,226.867,293.267,0,4,3,96.8333,1,56,3
28,Mother,323.4,450.45,0,4,87,85.47,1,87,0
29,Mother,232.913,320.85,0,4,99,121.21,1,41,1
30,Mother,303.18,277.1,0,4,5,50.53,1,209,2
31,Mother,132.8,473.1,0,3,88,91.3,1,96,3
32,Mother,212.52,129.36,0,5,15,147.84,1,345,0
33,Mother,539.503,418.293,0,7,77,183.003,1,181,1
34,Mother,218.42,363.49,0,4,41,78.24,1,95,2
35,Mother,196.433,462.033,0,3,117,177.067,1,145,3
36,Mother,420.42,154.77,0,3,27,80.85,1,206,0
37,Mother,610.803,147.353,0,6,65,133.093,1,346,1
38,Mother,169.52,94.54,0,5,10,109.21,1,20,2
39,Mother,127.267,478.633,0,3,90,179.833,1,325,3
40,Mother,108.57,462,0,5,93,122.43,1,327,0
41,Mother,499.1,251.927,0,7,77,128.34,1,112,1
42,Mother,190.71,163,0,4,22,123.88,1,134,2
43,Mother,185.367,320.933,0,5,45,85.7667,1,156,3
44,Mother,83.16,422.73,0,5,128,76.23,1,322,0
45,Mother,306.59,178.25,0,4,98,121.21,1,53,1
46,Mother,57.05,92.91,0,6,25,68.46,1,8,2
47,Mother,235.167,456.5,0,3,42,124.5,1,345,3
48,Mother,540.54,136.29,0,4,1,73.92,1,13,0
49,Mother,449.19,156.86,0,4,41,156.86,1,98,1
50,Mother,120.62,342.3,0,3,54,55.42,1,17,2
51,Mother,138.333,567.167,0,5,60,171.533,1,260,3
52,Mother,258.72,418.11,0,4,104,80.85,1,112,0
53,Mother,225.783,370.76,0,6,118,66.5467,1,12,1
54,Mother,154.85,130.4,0,6,50,50.53,1,238,2
55,Mother,545.033,500.767,0,4,31,127.267,1,264,3
56,Mother,346.5,427.35,0,3,129,57.75,1,101,0
57,Mother,484.84,415.917,0,7,17,123.587,1,356,1
58,Mother,242.87,316.22,0,5,2,32.6,1,118,2
59,Mother,379.033,520.133,0,3,36,188.133,1,296,3
60,Mother,441.21,205.59,0,4,24,182.49,1,107,0
61,Mother,537.127,156.86,0,5,49,99.82,1,35,1
62,Mother,128.77,205.38,0,4,23,44.01,1,274,2
63,Mother,403.933,675.067,0,5,132,193.667,1,192,3
64,Mother,254.1,152.46,0,3,142,129.36,1,152,0
65,Mother,382.643,149.73,0,7,114,97.4433,1,271,1
66,Mother,61.94,355.34,0,7,8,83.13,1,183,2
67,Mother,287.733,304.333,0,5,23,196.433,1,340,3
68,Mother,508.2,133.98,0,4,51,161.7,1,240,0
69,Mother,240.043,140.223,0,4,122,128.34,1,330,1
70,Mother,132.03,130.4,0,7,51,91.28,1,230,2
71,Mother,484.167,564.4,0,3,14,201.967,1,309,3
72,Mother,381.15,256.41,0,5,52,71.61,1,212,0
73,Mother,152.107,287.577,0,6,113,57.04,1,172,1
74,Mother,281.99,392.83,0,5,21,89.65,1,13,2
75,Mother,575.467,340.3,0,5,60,132.8,1,78,3
76,Mother,297.99,228.69,0,5,26,152.46,1,292,0
77,Mother,235.29,275.693,0,6,95,99.82,1,86,1
78,Mother,105.95,109.21,0,5,8,105.95,1,203,2
79,Mother,221.333,265.6,0,4,55,201.967,1,0,3
80,Mother,452.76,295.68,0,5,133,122.43,1,336,0
81,Mother,363.63,180.627,0,3,100,149.73,1,232,1
82,Mother,215.16,262.43,0,7,3,53.79,1,19,2
83,Mother,376.267,456.5,0,3,139,201.967,1,129,3
84,Mother,323.4,277.2,0,3,26,159.39,1,230,0
85,Mother,368.383,292.33,0,5,7,92.69,1,149,1
86,Mother,184.19,78.24,0,7,60,115.73,1,302,2
87,Mother,547.8,417.767,0,3,135,157.7,1,256,3
88,Mother,311.85,249.48,0,5,101,129.36,1,339,0
89,Mother,442.06,185.38,0,5,13,121.21,1,217,1
90,Mother,210.27,384.68,0,3,28,105.95,1,215,2
91,Mother,592.067,334.767,0,5,95,207.5,1,79,3
92,Mother,154.77,297.99,0,3,114,164.01,1,194,0
93,Mother,608.427,278.07,0,4,11,71.3,1,140,1
94,Mother,115.73,102.69,0,4,19,92.91,1,151,2
95,Mother,163.233,730.4,0,5,89,127.267,1,359,3
96,Mother,572.88,362.67,0,5,142,122.43,1,8,0
97,Mother,320.85,292.33,0,3,89,154.483,1,184,1
98,Mother,146.7,298.29,0,3,50,55.42,1,180,2
99,Mother,603.133,769.133,0,5,96,94.0667,1,237,3
100,Mother,404.25,110.88,0,5,47,46.2,1,141,0
101,Mother,520.49,399.28,0,4,115,106.95,1,153,1
102,Mother,221.68,252.65,0,3,44,61.94,1,58,2
103,Mother,171.533,556.1,0,4,49,179.833,1,129,3
104,Mother,475.86,254.1,0,4,140,145.53,1,103,0
105,Mother,568.023,301.837,0,4,28,54.6633,1,157,1
106,Mother,273.84,99.43,0,7,3,50.53,1,35,2
107,Mother,102.367,199.2,0,4,3,118.967,1,213,3
108,Mother,549.78,157.08,0,3,133,138.6,1,352,0
109,Mother,510.983,370.76,0,5,57,111.703,1,333,1
110,Mother,171.15,127.14,0,7,49,39.12,1,285,2
111,Mother,381.8,708.267,0,4,137,69.1667,1,85,3
112,Mother,517.44,332.64,0,3,43,127.05,1,200,0
113,Mother,446.813,392.15,0,3,53,159.237,1,160,1
114,Mother,164.63,451.51,0,6,2,117.36,1,48,2
115,Mother,174.3,179.833,0,5,31,121.733,1,83,3
116,Mother,431.97,244.86,0,5,27,147.84,1,2,0
117,Mother,527.62,185.38,0,5,43,171.12,1,290,1
118,Mother,221.68,309.7,0,3,24,112.47,1,246,2
119,Mother,622.5,390.1,0,4,38,196.433,1,321,3
120,Mother,471.24,304.92,0,4,33,170.94,1,318,0
121,Mother,565.647,482.463,0,6,17,73.6767,1,3,1
122,Mother,40.75,298.29,0,4,20,35.86,1,7,2
123,Mother,312.633,459.267,0,5,91,182.6,1,68,3
124,Mother,233.31,272.58,0,5,127,76.23,1,111,0
125,Mother,375.513,418.293,0,7,10,178.25,1,213,1
126,Mother,195.6,458.03,0,7,48,99.43,1,197,2
127,Mother,185.367,276.667,0,3,17,130.033,1,244,3
128,Mother,602.91,272.58,0,5,97,113.19,1,331,0
129,Mother,577.53,254.303,0,6,75,97.4433,1,39,1
130,Mother,125.51,420.54,0,7,56,96.17,1,38,2
131,Mother,329.233,583.767,0,4,135,132.8,1,258,3
132,Mother,602.91,180.18,0,4,55,92.4,1,175,0
133,Mother,651.207,154.483,0,7,47,59.4167,1,85,1
134,Mother,182.56,244.5,0,6,45,55.42,1,224,2
135,Mother,251.767,174.3,0,4,58,201.967,1,41,3
136,Mother,584.43,395.01,0,3,1,159.39,1,10,0
137,Mother,332.733,254.303,0,7,17,159.237,1,321,1
138,Mother,303.18,249.39,0,5,29,32.6,1,105,2
139,Mother,738.7,691.667,0,5,116,60.8667,1,165,3
