eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,381.15,304.92,48.51,5,31,69.3,1,0,0
1,Mother,318.789,191.443,48.51,5,31,90.09,1,10,0
2,Mother,318.187,194.855,48.51,5,31,90.09,1,10,0
3,Mother,322.201,192.044,48.51,5,31,90.09,1,10,0
4,Mother,380.533,311.934,48.51,5,31,69.3,1,20,0
5,Mother,318.105,189.653,48.51,5,31,90.09,1,20,0
6,Mother,316.92,192.909,48.51,5,31,90.09,1,20,0
7,Mother,315.735,196.165,48.51,5,31,90.09,1,20,0
8,Mother,321.361,190.838,48.51,5,31,90.09,1,20,0
9,Mother,320.176,194.094,48.51,5,31,90.09,1,20,0
10,Mother,317.205,192.805,48.51,5,31,90.09,1,30,0
11,Mother,315.473,195.806,48.51,5,31,90.09,1,30,0
12,Mother,321.939,191.537,48.51,5,31,90.09,1,30,0
13,Mother,320.206,194.538,48.51,5,31,90.09,1,30,0
14,Mother,318.473,197.538,48.51,5,31,90.09,1,30,0
15,Mother,535.242,258.673,48.51,5,31,90.09,1,30,0
16,Mother,533.51,261.674,48.51,5,31,90.09,1,30,0
17,Mother,536.511,263.407,48.51,5,31,90.09,1,30,0
18,Mother,314.832,192.883,48.51,5,31,90.09,1,40,0
19,Mother,319.713,192.456,48.51,5,31,90.09,1,40,0
20,Mother,317.486,195.11,48.51,5,31,90.09,1,40,0
21,Mother,534.655,259.733,48.51,5,31,90.09,1,40,0
22,Mother,532.428,262.387,48.51,5,31,90.09,1,40,0
23,Mother,535.082,264.615,48.51,5,31,90.09,1,40,0
24,Mother,519.064,269.157,48.51,5,31,69.3,1,50,0
25,Mother,521.292,271.811,48.51,5,31,69.3,1,50,0
26,Mother,523.519,274.465,48.51,5,31,69.3,1,50,0
27,Mother,316.508,194.867,48.51,5,31,90.09,1,50,0
28,Mother,309.755,182.813,48.51,5,31,69.3,1,100,0
29,Mother,306.343,182.211,48.51,5,31,69.3,1,100,0
30,Mother,324.41,199.471,48.51,5,31,69.3,1,100,0
31,Mother,320.998,198.869,48.51,5,31,69.3,1,100,0
32,Mother,323.809,202.883,48.51,5,31,69.3,1,100,0
33,Mother,320.396,202.282,48.51,5,31,69.3,1,100,0
34,Mother,309.522,182.841,48.51,5,31,69.3,1,110,0
35,Mother,306.266,181.656,48.51,5,31,69.3,1,110,0
36,Mother,325.503,199.72,48.51,5,31,69.3,1,110,0
37,Mother,322.247,198.535,48.51,5,31,69.3,1,110,0
38,Mother,324.318,202.976,48.51,5,31,69.3,1,110,0
39,Mother,321.062,201.791,48.51,5,31,69.3,1,110,0
40,Mother,324.475,201.003,48.51,5,31,69.3,1,120,0
41,Mother,321.474,199.271,48.51,5,31,69.3,1,120,0
