eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation,Series
0,Mother,204.435,246.015,48.51,5,31,114.345,1,0,0
2,Mother,211.365,270.27,48.51,5,31,114.345,1,0,0
4,Mother,211.365,308.385,48.51,5,31,114.345,1,0,0
7,Mother,214.83,329.175,48.51,5,31,114.345,1,0,0
9,Mother,225.225,284.13,48.51,5,31,114.345,1,0,0
10,Mother,228.69,315.315,48.51,5,31,114.345,1,0,0
11,Mother,228.69,349.965,48.51,5,31,114.345,1,0,0
12,Mother,232.155,249.48,48.51,5,31,114.345,1,0,0
19,Mother,242.55,280.665,48.51,5,31,114.345,1,0,0
20,Mother,242.55,297.99,48.51,5,31,114.345,1,0,0
21,Mother,242.55,329.175,48.51,5,31,114.345,1,0,0
22,Mother,246.015,183.645,48.51,5,31,114.345,1,0,0
23,Mother,246.015,211.365,48.51,5,31,114.345,1,0,0
26,Mother,249.48,239.085,48.51,5,31,114.345,1,0,0
27,Mother,249.48,256.41,48.51,5,31,114.345,1,0,0
30,Mother,249.48,374.22,48.51,5,31,114.345,1,0,0
41,Mother,259.875,273.735,48.51,5,31,114.345,1,0,0
43,Mother,259.875,329.175,48.51,5,31,114.345,1,0,0
44,Mother,259.875,395.01,48.51,5,31,114.345,1,0,0
45,Mother,263.34,187.11,48.51,5,31,114.345,1,0,0
46,Mother,263.34,228.69,48.51,5,31,114.345,1,0,0
53,Mother,270.27,246.015,48.51,5,31,114.345,1,0,0
58,Mother,273.735,308.385,48.51,5,31,114.345,1,0,0
63,Mother,280.665,329.175,48.51,5,31,114.345,1,0,0
64,Mother,284.13,138.6,48.51,5,31,114.345,1,0,0
66,Mother,284.13,211.365,48.51,5,31,114.345,1,0,0
67,Mother,284.13,235.62,48.51,5,31,114.345,1,0,0
71,Mother,287.595,183.645,48.51,5,31,114.345,1,0,0
77,Mother,287.595,356.895,48.51,5,31,114.345,1,0,0
79,Mother,291.06,259.875,48.51,5,31,114.345,1,0,0
86,Mother,297.99,166.32,48.51,5,31,114.345,1,0,0
89,Mother,297.99,343.035,48.51,5,31,114.345,1,0,0
92,Mother,301.455,242.55,48.51,5,31,114.345,1,0,0
95,Mother,301.455,370.755,48.51,5,31,114.345,1,0,0
96,Mother,304.92,135.135,48.51,5,31,114.345,1,0,0
98,Mother,304.92,207.9,48.51,5,31,114.345,1,0,0
102,Mother,308.385,318.78,48.51,5,31,114.345,1,0,0
105,Mother,311.85,190.575,48.51,5,31,114.345,1,0,0
107,Mother,311.85,228.69,48.51,5,31,114.345,1,0,0
110,Mother,311.85,353.43,48.51,5,31,114.345,1,0,0
111,Mother,315.315,173.25,48.51,5,31,114.345,1,0,0
119,Mother,322.245,117.81,48.51,5,31,114.345,1,0,0
120,Mother,322.245,277.2,48.51,5,31,114.345,1,0,0
121,Mother,325.71,148.995,48.51,5,31,114.345,1,0,0
123,Mother,332.64,204.435,48.51,5,31,114.345,1,0,0
124,Mother,332.64,246.015,48.51,5,31,114.345,1,0,0
126,Mother,332.64,322.245,48.51,5,31,114.345,1,0,0
127,Mother,336.105,131.67,48.51,5,31,114.345,1,0,0
132,Mother,336.105,346.5,48.51,5,31,114.345,1,0,0
133,Mother,336.105,395.01,48.51,5,31,114.345,1,0,0
136,Mother,339.57,225.225,48.51,5,31,114.345,1,0,0
140,Mother,343.035,284.13,48.51,5,31,114.345,1,0,0
143,Mother,346.5,176.715,48.51,5,31,114.345,1,0,0
149,Mother,349.965,211.365,48.51,5,31,114.345,1,0,0
155,Mother,356.895,128.205,48.51,5,31,114.345,1,0,0
158,Mother,356.895,249.48,48.51,5,31,114.345,1,0,0
161,Mother,356.895,336.105,48.51,5,31,114.345,1,0,0
162,Mother,360.36,76.23,48.51,5,31,114.345,1,0,0
166,Mother,360.36,270.27,48.51,5,31,114.345,1,0,0
170,Mother,363.825,356.895,48.51,5,31,114.345,1,0,0
175,Mother,370.755,90.09,48.51,5,31,114.345,1,0,0
181,Mother,374.22,117.81,48.51,5,31,114.345,1,0,0
182,Mother,374.22,232.155,48.51,5,31,114.345,1,0,0
183,Mother,374.22,249.48,48.51,5,31,114.345,1,0,0
185,Mother,374.22,322.245,48.51,5,31,114.345,1,0,0
187,Mother,374.22,339.57,48.51,5,31,114.345,1,0,0
189,Mother,377.685,284.13,48.51,5,31,114.345,1,0,0
195,Mother,381.15,266.805,48.51,5,31,114.345,1,0,0
196,Mother,381.15,301.455,48.51,5,31,114.345,1,0,0
