eventID,Cell Type,Center.x,Center.y,Radius,Slice,Frame,Size,Dilation,Orientation
1,Mother,490,570,14,4,17,83,1.4,30
1,Daughter1,477,609,18.634,4,18,62.6207,2,40
1,Daughter2,525,594,15.4,4,18,42.6067,3,40
2,Mother,592,426,14,4,38,83,1.4,140
2,Daughter1,592,386,15.4,4,39,53.6733,2.8,150
2,Daughter2,627,417,14,4,39,38.7333,3.4,150
3,Mother,584,661,14,4,60,83,1.4,20
3,Daughter1,566,690,14,4,61,38.7333,4,30
3,Daughter2,601,675,14,4,61,38.7333,3,20
4,Mother,219,254,14,4,131,110.667,1,20
4,Daughter1,240,235,20.4974,4,132,73.3095,1.2,80
4,Daughter2,220,288,20.4974,4,132,62.2428,1.6,80
